idx,title,issue,issue_date,expiry_date,strap,summary,body,updated_date,type,sitecode,published,author,commentboard,tid
39436,Intergenerational Integration: Making it work,,12/29/2009 0:00,12/29/2114 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/phillipe_bonnet_cover.jpg,"Philippe Bonnet, VP, China, Australia & New Zealand, Essilor, shows us Gen Y's special place in the workforce","<iframe allowfullscreen="""" frameborder=""0"" height=""225"" mozallowfullscreen="""" src=""//player.vimeo.com/video/104279953?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",12/23/2009 0:00,780,HRM,1,,0,780
39489,2010: HR challenges ahead,,1/5/2010 0:00,1/4/2115 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/low_peck_kem_cover.jpg,"Low Peck Kem, Director, People Matters Department, Singapore's Ministry of Manpower, says HR departments will be facing new and significant challenges in 2010. She considers the year ahead in terms of skills and manpower","<iframe allowfullscreen="""" frameborder=""0"" height=""225"" mozallowfullscreen="""" src=""//player.vimeo.com/video/104278966?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""306""></iframe>",1/4/2010 0:00,780,HRM,1,,0,780
39558,Corporate Turnaround Strategy,,1/12/2010 0:00,1/11/2115 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/mike_teng_cover.jpg,"Mike Teng, author of Corporate Turnaround reveals the tools and strategies needed to nurse a sick company back to health","<iframe allowfullscreen="""" frameborder=""0"" height=""225"" mozallowfullscreen="""" src=""//player.vimeo.com/video/104281279?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d"" webkitallowfullscreen="""" width=""300""></iframe>",1/11/2010 0:00,780,HRM,1,,0,780
39698,HRM Awards,/HRM-videos/HRM_AWARDS_2010_TABLE_BOOKING_final.flv,1/14/2010 0:00,1/14/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/adriang_pang_cover.jpg,Catch all the action in this short highlights video from previous HRM Awards ceremonies,"<div><span class=""640053603-14012010""><font face=""Arial"" size=""2"">Catch all the action in this short highlights video from previous HRM Awards ceremonies</font></span></div>",1/14/2010 0:00,780,HRM,0,,0,780
39751,Managing Talent Through Change,,1/19/2010 0:00,1/18/2115 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/leslie_swanson_cover.jpg,"Leslie Swanson, Organisational Development Leader, Merck Sharpe & Dohme discusses her company's approach to change","<iframe allowfullscreen="""" frameborder=""0"" height=""220"" mozallowfullscreen="""" src=""//player.vimeo.com/video/104281649?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",1/18/2010 0:00,780,HRM,1,,0,780
39946,Making one generation,,1/26/2010 0:00,1/25/2115 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/margie_blanchard_cover.jpg,"Margie Blanchard, a thought leader with The Ken Blanchard Companies, shares her tips on integrating different generations at work","<iframe allowfullscreen="""" frameborder=""0"" height=""225"" mozallowfullscreen="""" src=""//player.vimeo.com/video/99300100?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",1/25/2010 0:00,780,HRM,1,,0,780
40060,Networking and recruiting,,2/2/2010 0:00,2/1/2115 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/william_chin_cover.jpg,"William Chin, Senior Manager of Staffing, Qualcomm CDMA, describes the recruitment benefits his organisation is experiencing through online networking tools","<iframe allowfullscreen="""" frameborder=""0"" height=""225"" mozallowfullscreen="""" src=""//player.vimeo.com/video/99303288?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",2/1/2010 0:00,780,HRM,1,,0,780
40190,Making change a success,,2/9/2010 0:00,2/8/2115 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/michael_watkins_cover.jpg,"Michael Watkins, author of The First 90 Days and Varun Bhatia, Vice President of HR for Kraft Foods Asia Pacific, discuss Kraft's significant transition to a new decentralised business model","<iframe allowfullscreen="""" frameborder=""0"" height=""220"" mozallowfullscreen="""" src=""//player.vimeo.com/video/104282391?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",2/8/2010 0:00,780,HRM,1,,0,780
40292,Managing conflicts at work,,2/15/2010 0:00,2/11/2115 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/carol_liew_cover.jpg,"Carol Liew, Deputy Director, Singapore Mediation Centre shows how HR can mediate conflicts in the office","<iframe allowfullscreen="""" frameborder=""0"" height=""220"" mozallowfullscreen="""" src=""//player.vimeo.com/video/104283491?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",2/11/2010 0:00,780,HRM,1,,0,780
40295,Fair Employment in review,,2/23/2010 0:00,2/11/2115 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/halimah_yacob_cover.jpg,Tripartite Alliance for Fair Employment Practices (TAFEP) Co-chair Halimah Yacob describes TAFEP's progress and goals for 2010,"<iframe allowfullscreen="""" frameborder=""0"" height=""225"" mozallowfullscreen="""" src=""//player.vimeo.com/video/99305352?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",2/11/2010 0:00,780,HRM,1,,0,780
40493,Getting compliant,,3/9/2010 0:00,3/16/2115 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/jim_burke_cover.jpg,"Jim Burke, CEO of Global Compliance, says organisations of all sizes need to formulate effective compliance programmes in order to reduce the risk of corporate fraud","<iframe allowfullscreen="""" frameborder=""0"" height=""220"" mozallowfullscreen="""" src=""//player.vimeo.com/video/104284940?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",2/25/2010 0:00,780,HRM,1,,0,780
40840,"Retaining, Daimler - style",,3/16/2010 0:00,3/16/2115 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/michael_ivan_cover.jpg,"Michael-Joerg Ivan, HR Senior Manager, Daimler, shares the company's unique retention programme, born in Singapore and rolled out wordwide","<iframe allowfullscreen="""" frameborder=""0"" height=""220"" mozallowfullscreen="""" src=""//player.vimeo.com/video/104285164?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",3/10/2010 0:00,780,HRM,1,,0,780
40926,NTUC First Campus on talent management,/HRM-videos/geraldine_lee.flv,3/23/2010 0:00,3/16/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/geraldine_lee_cover.jpg,NTUC First Campus' Chief HR Officer Geraldine Lee was named Best HR Leader at this year's HRM Awards. She talks about how her organisation attracts and retains talent,<p>NTUC First Campus' Chief HR Officer Geraldine Lee was named Best HR Leader at this year's HRM Awards. She talks about how her organisation attracts and retains talent</p>,3/16/2010 0:00,780,HRM,1,,0,780
40927,Resolution Tactics for Today's Business,/HRM-videos/kristin_hay.flv,3/30/2010 0:00,3/16/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/kristin_hay_cover.jpg,"Kristin Hay, HR Management Consultant, shares tips on how HR can manage conflicts in today's multi-cultural, multi-geographic and multi-generational workplace","<p>Kristin Hay, HR Management Consultant, shares tips on how HR can manage conflicts in today's multi-cultural, multi-geographic and multi-generational workplace</p>",3/16/2010 0:00,780,HRM,1,,0,780
41232,Branded Approach,/HRM-videos/johan_van_vuuren.flv,4/6/2010 0:00,4/5/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/johan_van_vuuren_cover.jpg,"Johan Van Vuuren, HR Director of Datacraft, shares the company's ""Think Health"" programme, aimed at combating employee burnout","<p>Johan Van Vuuren, HR Director of Datacraft, shares the company's &quot;Think Health&quot; programme, aimed at combating employee burnout</p>",4/5/2010 0:00,780,HRM,1,,0,780
41233,Job satisfaction counts,/HRM-videos/eric_pesik.flv,5/11/2010 0:00,5/11/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/erik_pesik_cover.jpg,"Eric Pesik, Legal Director - Asia for Seagate Technology, says companies need to remove factors leading to job dissatisfaction, so as to reduce and prevent employee burnout","<p>Eric Pesik, Legal Director - Asia for Seagate Technology, says companies need to remove factors leading to job dissatisfaction, so as to reduce and prevent employee burnout</p>",4/5/2010 0:00,780,HRM,1,,0,780
41362,Personal development for all,/HRM-videos/friedrich_rummel.flv,4/13/2010 0:00,4/12/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/friedrich_rummel_cover.jpg,"Dr Friedrich Rummel, Chief HR Officer, Allianz SE Insurance Management Asia Pacific, shares how his organisation keeps its staff engaged","<p>Dr Friedrich Rummel, Chief HR Officer, Allianz SE Insurance Management Asia Pacific, shares how his organisation keeps its staff engaged</p>",4/12/2010 0:00,780,HRM,1,,0,780
41486,Equality still eludes,/HRM-videos/leslie_traub.flv,4/20/2010 0:00,4/20/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/leslie_traub_cover.jpg,"Leslie Traub, President and CEO of Cook Ross, says women at top global companies continue to lag behind their male counterparts in terms of both salaries and advancement opportunities","<p>Leslie Traub, President and CEO of Cook Ross, says women at top global companies continue to lag behind their male counterparts in terms of both salaries and advancement opportunities</p>",4/16/2010 0:00,780,HRM,1,,0,780
41501,Internal CSR,/HRM-videos/arnaud_sos.flv,5/4/2010 0:00,5/4/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/arnaud_vaissie_cover.jpg,"Arnaud VaissiŽ, Chairman & CEO, International SOS, explains how employers have a Duty of Care towards their staff","<p>Arnaud Vaissi&eacute;, Chairman & CEO, International SOS, explains how employers have a Duty of Care towards their staff</p>",4/19/2010 0:00,780,HRM,1,,0,780
41508,The science behind stress,/HRM-videos/jp_fry.flv,4/26/2010 0:00,4/27/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/jp_fry_cover.jpg,Dr JP Pawliw-Fry explains how the human brain reacts to pressure situations; and how HR can help relieve some of that stress on employees,<p>Dr JP Pawliw-Fry explains how the human brain reacts to pressure situations; and how HR can help relieve some of that stress on employees</p>,4/19/2010 0:00,780,HRM,1,,0,780
45726,Leadership mantras,/HRM-videos/ala_parker.flv,5/18/2010 0:00,5/18/2115 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/alan_parker_cover.jpg,"Alan Parker, Practice Lead for Leadership (SE Asia), Hewitt, speaks on leadership styles of bosses in top companies","<object height=""250"" width=""300""><param name=""movie"" value=""http://www.youtube.com/v/de4SjJ0DUis&amp;autoplay=1?fs=1&amp;hl=en_US&amp;rel=0"" /><param name=""allowFullScreen"" value=""true"" /><param name=""allowscriptaccess"" value=""always"" /><embed allowfullscreen=""true"" allowscriptaccess=""always"" height=""250"" src=""http://www.youtube.com/v/de4SjJ0DUis&amp;autoplay=1?fs=1&amp;hl=en_US&amp;rel=0"" type=""application/x-shockwave-flash"" width=""300""></embed></object>",4/30/2010 0:00,780,HRM,1,,0,780
45862,MICE forges on,/HRM-videos/andy_michaels_lim.flv,5/14/2010 0:00,5/14/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/andy_michaels_lim_cover.jpg,"Andy Michaels Lim, General Manager, Bonvo Travel explains how the economic downturn affected MICE, incentive rewards and corporate social responsibility activities in the Southeast Asia region","<p>Andy Michaels Lim, General Manager, Bonvo Travel explains how the economic downturn affected MICE, incentive rewards and corporate social responsibility activities in the Southeast Asia region</p>",5/10/2010 0:00,780,HRM,1,,0,780
46093,Boosting Business Creativity,/HRM-videos/fredrik_haren.flv,6/1/2010 0:00,6/1/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/fredrik_haren_cove.jpg,"Fredrik HŠrŽn, author of The Idea Book, reveals how HR can help spur creativity at the workplace","<p>Fredrik H&auml;r&eacute;n, author of The Idea Book, reveals how HR can help spur creativity at the workplace</p>",5/24/2010 0:00,780,HRM,1,,0,780
46334,Workplace Communication,,6/8/2010 0:00,6/8/2115 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/ntu_professors_cover.jpg,"Professors Augustine Pang and May O Lwin of Nanyang Technological University, explain why communication skills are more important to business now than ever before","<p><iframe allowfullscreen="""" frameborder=""0"" height=""250"" src=""http://blip.tv/play/h7dggvK1AQA.html?p=1"" width=""300""></iframe><embed src=""http://a.blip.tv/api.swf#h7dggvK1AQA"" style=""display:none"" type=""application/x-shockwave-flash""></embed></p>",6/7/2010 0:00,780,HRM,1,,0,780
46459,Real leadership solutions,/HRM-videos/adrian_lajtha.flv,6/15/2010 0:00,6/15/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/adrian_lajtha.jpg,"Driving Talent and Leadership in a global organisation poses challenges for even the largest employers. HRM TV speaks with Adrian Lajtha, who has the unusual role of ""Chief Leadership Officer"", at Accenture","<p>Driving Talent and Leadership in a global organisation poses challenges for even the largest employers. HRM TV speaks with Adrian Lajtha, who has the unusual role of &quot;Chief Leadership Officer&quot;, at Accenture</p>",6/14/2010 0:00,780,HRM,1,,0,780
46561,Tailoring Comp & Ben,/HRM-videos/milagros_perez.flv,6/29/2010 0:00,6/29/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/mila_perez_cover.jpg,HRM speaks to Milagros Perez of Philips Electronics about how a multi-generational workforce might have differing expectations of compensation and benefits,<p>HRM speaks to Milagros Perez of Philips Electronics about how a multi-generational workforce might have differing expectations of compensation and benefits</p>,6/18/2010 0:00,780,HRM,1,,0,780
46562,Blending generations,/HRM-videos/suresh_nair.flv,7/13/2010 0:00,7/13/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/suresh_nair_cover.jpg,"Suresh Nair, from CELLS Management, considers strategies for building better synergies between Gen X and Gen Y employees","<p>Suresh Nair, from CELLS Management, considers strategies for building better synergies between Gen X and Gen Y employees</p>",6/18/2010 0:00,780,HRM,1,,0,780
46596,Surviving the World Cup,,6/22/2010 0:00,6/21/2115 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/charlotte_wong_cover.jpg,"One of the most-anticipated sporting events, the World Cup,is also a mini-nightmare for some employers. Charlotte Wong, HR Manager, Adecco says this can be prevented with flexibility and open communication","<iframe allowfullscreen="""" frameborder=""0"" height=""225"" mozallowfullscreen="""" src=""//player.vimeo.com/video/99215031?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",6/21/2010 0:00,780,HRM,1,,0,780
46721,Financial leadership challenges,/HRM-videos/ardrian_furnham.flv,7/6/2010 0:00,7/5/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/adrian_furnham_cover.jpg,"Adrian Furnham, a University professor, explains the ""leadership derailment"" that is still affecting the world's banking and finance industry","<p>Adrian Furnham, a University professor, explains the &quot;leadership derailment&quot; that is still affecting the world's banking and finance industry</p>",6/28/2010 0:00,780,HRM,1,,0,780
46726,"One workforce, many systems",/HRM-videos/gurchran_singh.flv,7/27/2010 0:00,7/26/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/gurch_sing_cover.jpg,"Organisations need to develop customised strategies to attract and retain Gen X and Gen Y employees. Dr Gurchran Singh, from the Cherie Hearts Group, explains","<p>Organisations need to develop customised strategies to attract and retain Gen X and Gen Y employees. Dr Gurchran Singh, from the Cherie Hearts Group, explains</p>",6/28/2010 0:00,780,HRM,1,,0,780
47157,Engaging your workforce,/HRM-videos/derek_tan.flv,7/20/2010 0:00,7/19/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/derek_tan_cover.jpg,"Derek Tan, from Singapore's Central Provident Fund Board, talks about his organisation's employee engagement strategies","<p>Derek Tan, from Singapore's Central Provident Fund Board, talks about his organisation's employee engagement strategies</p>",7/19/2010 0:00,780,HRM,1,,0,780
47361,Moving on up,/HRM-videos/alina_rizzo.flv,8/3/2010 0:00,8/4/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/alina_rizza_cover.jpg,"Alina Rizzo, from Motorola, explains how her organisation grooms women for key leadership positions","<p>Alina Rizzo, from Motorola, explains how her organisation grooms women for key leadership positions</p>",7/27/2010 0:00,780,HRM,1,,0,780
48630,Executive  athlete,/HRM-videos/paul_taylot.flv,8/9/2010 0:00,8/11/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/paul_taylor_cover.jpg,Executive performance coach Paul Taylor shows how companies can apply sports psychology to boost employee effectiveness,<p>Executive performance coach Paul Taylor shows how companies can apply sports psychology to boost employee effectiveness</p>,8/5/2010 0:00,780,HRM,1,,0,780
48631,Dispelling conspiracy theories,/HRM-videos/grace_cheong.flv,8/24/2010 0:00,8/25/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/grace_cheong_cover.jpg,Workplace collusion can take a toll on productivity. Grace Cheong from F5 Networks tells us how this problem can be nipped in the bud,<p>Workplace collusion can take a toll on productivity. Grace Cheong from F5 Networks tells us how this problem can be nipped in the bud</p>,8/5/2010 0:00,780,HRM,1,,0,780
48632,Consistency is key,/HRM-videos/leslie_swanson2.flv,8/17/2010 0:00,9/18/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/leslie_swanson2_cover.jpg,Standardised on-the-job training programmes can help organisations identify areas that need improvement. Leslie Swanson from Merck Sharp & Dohme explains more,<p>Standardised on-the-job training programmes can help organisations identify areas that need improvement. Leslie Swanson from Merck Sharp & Dohme explains more</p>,8/5/2010 0:00,780,HRM,1,,0,780
48954,From HR to CEO,/HRM-videos/carmen_wee.flv,8/31/2010 0:00,8/31/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/carmen_wee_cover.jpg,"Over a 20 year career in Singapore, Carmen Wee, Vice President of HR for Invensys, has seen many changes in the practice of people management. Here,she reflects on the profession's increasing strategic value to business throughout the region","<p>Over a 20 year career in Singapore, Carmen Wee, Vice President of HR for Invensys, has seen many changes in the practice of people management. Here,she reflects on the profession's increasing strategic value to business throughout the region</p>",8/20/2010 0:00,780,HRM,1,,0,780
49195,Taking care of travel risks,/HRM-videos/tony_ridley.flv,9/7/2010 0:00,9/6/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/tony_ridley_cover.jpg,"Tony Ridley, Director, Security Services Asia Pacific, International SOS, says the range and types of risks associated with world travel have changed significantly in recent years. But, he points out, there are ways companies can manage them","<p>Tony Ridley, Director, Security Services Asia Pacific, International SOS, says the range and types of risks associated with world travel have changed significantly in recent years. But, he points out, there are ways companies can manage them</p>",9/2/2010 0:00,780,HRM,1,,0,780
49315,Building emotionally intelligent employees,/HRM-videos/sivakumar_machap.flv,9/14/2010 0:00,9/14/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/sivakumar_machap_cover.jpg,"Sivakumar Machap, Deputy Director, from Outward Bound Singapore, reveals the power of emotional intelligence - and what it means for organisations that can harness it in their staff","<p>Sivakumar Machap, Deputy Director, from Outward Bound Singapore, reveals the power of emotional intelligence - and what it means for organisations that can harness it in their staff</p>",9/8/2010 0:00,780,HRM,1,,0,780
49506,Keeping the brain at its peak,/HRM-videos/paul_taylor02.flv,9/21/2010 0:00,9/21/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/paul_taylor02_cover.jpg,"Paul Taylor, from the Body-Brain Performance Institute, explains how exercise and nutrition can improve brain power in the office","<p>Paul Taylor, from the Body-Brain Performance Institute, explains how exercise and nutrition can improve brain power in the office</p>",9/20/2010 0:00,780,HRM,1,,0,780
49879,Asian leaders,/HRM-videos/liu_zhengrong.flv,10/12/2010 0:00,10/11/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/liu_zhengrong_cover.jpg,"Does it take a special breed of Asian talent to succeed in Europe? Liu Zhengrong, from Lanxess AG, shares his experience","<p>Does it take a special breed of Asian talent to succeed in Europe? Liu Zhengrong, from Lanxess AG, shares his experience</p>",10/11/2010 0:00,780,HRM,1,,0,780
50018,The power of consistency,/HRM-videos/ciaron_murphy.flv,10/19/2010 0:00,10/18/2015 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/ciaron_murphy_cover.jpg,"Ciaron Murphy, Head of HR - Asia Pacific - for Nokia Siemens Networks explains why consistency in leadership is important, and how it can be achieved","<p>Ciaron Murphy, Head of HR - Asia Pacific - for Nokia Siemens Networks explains why consistency in leadership is important, and how it can be achieved</p>",10/18/2010 0:00,780,HRM,1,,0,780
